Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,413/308,184/115,130/117,52/43,32/25,15/8
2024,20/17,3/3,11/11,1/1,2/2,3/0
2023,10/11,5/6,0/1,5/2,0/1,0/1
2022,23/23,11/7,4/10,0/1,4/4,4/1
2021,39/19,21/9,9/4,8/5,1/1,-
2020,4/4,-,3/4,-,-,1/0
2019,13/24,7/8,4/11,1/1,0/2,1/2
2018,22/27,7/9,8/13,1/3,6/2,-
2017,45/23,19/7,18/10,2/2,6/3,0/1
2016,30/24,9/8,13/11,-,7/4,1/1
2015,29/25,6/7,6/12,6/3,6/3,5/0
2014,30/24,9/6,9/7,12/9,0/2,-
2013,35/20,11/10,18/6,6/4,-,-
2012,31/22,18/9,10/10,3/2,-,0/1
2011,24/20,14/7,8/5,2/6,0/1,0/1
2010,30/16,16/10,9/2,5/4,-,-
2009,23/7,23/7,-,-,-,-
2008,5/2,5/2,-,-,-,-
