Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
21.08.,Maia H.,2,,,,,,"['3', '2']",[],"['7', '5']",[],[],3.20
21.08.,Lalami Laaroussi Y.,1,,,,,,[],"['3', '1', '5', '1']",[],[],[],1.31
20.08.,Lalami Laaroussi Y.,2,,,,,,"['3', '1', '5', '3']","['1', '0', '3', '0']","['3', '3']",[],[],1.25
20.08.,Batista D.,1,,,,,,"['3', '4']","['2', '4', '5', '5']","['3', '2']",[],[],3.62
14.08.,Polmans M.,2,,,,,,"['3', '2', '5', '2']","['3', '2', '6', '3']",[],[],[],19.0
14.08.,Lalami Laaroussi Y.,0,,,,,,[],[],[],[],[],1.69
13.08.,Lalami Laaroussi Y.,2,,,,,,[],"['6', '4']","['2', '0', '4', '2', '5', '3']",[],[],-
13.08.,Guerrero Alvarez C.,1,,,,,,"['2', '1', '5', '2']",[],"['2', '3', '3', '4']",[],[],-
26.06.,Wenger D.,2,,,,,,"['1', '2', '4', '3']","['2', '1', '5', '2']",[],[],[],1.25
26.06.,Lalami Laaroussi Y.,0,,,,,,"['2', '0']",[],[],[],[],3.62
25.06.,Lalami Laaroussi Y.,2,,,,,,"['3', '3', '5', '3']","['3', '1', '5', '1']","['2', '1', '6', '3']",[],[],1.41
25.06.,Tessa L.,1,,,,,,"['3', '2', '4', '5', '6', '5']",[],[],[],[],2.73
19.06.,Ratti L.,2,,,,,,"['2', '2', '4', '2', '6', '2']","['7', '5']",[],[],[],2.22
19.06.,Lalami Laaroussi Y.,0,,,,,,"['1', '0']",[],[],[],[],1.60
18.06.,Lalami Laaroussi Y.,2,,,,,,"['4', '2', '6', '2']","['3', '1', '5', '1']",[],[],[],1.05
18.06.,M'Chich A.,0,,,,,,[],[],[],[],[],7.70
31.05.,Juhas K.,2,,,,,,"['2', '0', '6', '4']","['2', '0', '4', '0']",[],[],[],1.53
31.05.,Lalami Laaroussi Y.,0,,,,,,"['1', '2']",[],[],[],[],2.37
