Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,228/177,10/9,212/165,-,-,6/3
2024,11/11,-,10/10,-,-,1/1
2023,29/13,-,24/12,-,-,5/1
2022,16/10,-,16/9,-,-,0/1
2021,1/5,1/4,0/1,-,-,-
2020,0/1,-,0/1,-,-,-
2019,25/24,7/3,18/21,-,-,-
2018,41/23,2/2,39/21,-,-,-
2017,29/17,-,29/17,-,-,-
2016,23/23,-,23/23,-,-,-
2015,19/25,-,19/25,-,-,-
2014,15/11,-,15/11,-,-,-
2013,13/9,-,13/9,-,-,-
2012,5/4,-,5/4,-,-,-
2011,1/1,-,1/1,-,-,-
