Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,237/415,171/276,58/124,1/6,-,7/9
2024,3/17,2/12,1/5,-,-,-
2023,21/30,16/26,2/2,-,-,3/2
2022,21/31,21/31,-,-,-,-
2021,34/44,27/32,3/5,-,-,4/7
2020,6/36,4/15,2/21,-,-,-
2019,25/33,24/31,1/2,-,-,-
2018,15/25,11/15,4/8,0/2,-,-
2017,16/31,14/26,1/3,1/2,-,-
2016,29/32,21/23,8/9,-,-,-
2015,18/29,9/11,9/17,0/1,-,-
2014,14/27,1/2,13/24,0/1,-,-
2013,14/26,5/15,9/11,-,-,-
2012,10/25,5/10,5/15,-,-,-
2011,8/19,8/17,0/2,-,-,-
2010,3/6,3/6,-,-,-,-
2009,0/3,0/3,-,-,-,-
2007,0/1,0/1,-,-,-,-
