Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,11/8,11/8,-,-,-,-
2024,10/6,10/6,-,-,-,-
2023,1/1,1/1,-,-,-,-
2022,0/1,0/1,-,-,-,-
