Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
11.06.2024,Noce G. M.,2,,,,,,"['1', '0', '3', '2', '5', '2', '6', '3']","['3', '1', '6', '2']",[],[],[],1.54
11.06.2024,Miceli M.,0,,,,,,"['1', '1', '3', '5']",[],[],[],[],2.36
17.04.2024,Barreto Sanchez D. A.,2,,,,,,"['2', '2', '4', '2', '5', '3']","['1', '0', '3', '0', '4', '1', '5', '2']",[],[],[],1.05
17.04.2024,Miceli M.,0,,,,,,"['2', '1', '3', '4']","['1', '3', '2', '4']",[],[],[],8.70
09.04.2024,Blanch Dar.,2,,,,,,"['2', '2', '4', '2']","['3', '2']","['1', '0', '4', '1']",[],[],1.19
09.04.2024,Miceli M.,1,,,,,,"['2', '1', '4', '5']","['3', '3', '6', '4']",[],[],[],4.27
10.08.2023,Buldorini P.,2,,,,,,"['1', '0', '3', '0', '4', '1']","['1', '0', '5', '4']",[],[],[],1.92
10.08.2023,Miceli M.,0,,,,,,"['1', '3', '2', '4']","['3', '3']",[],[],[],1.79
09.08.2023,Miceli M.,2,,,,,,"['1', '2', '2', '3', '3', '4', '5', '4']","['3', '2', '6', '3']",[],[],[],1.26
09.08.2023,Gramaticopolo B.,0,,,,,,"['2', '0', '3', '1', '4', '2']",[],[],[],[],3.72
08.08.2023,Miceli M.,2,,,,,,"['1', '0', '3', '0']","['1', '0', '4', '3']","['1', '0', '3', '0', '5', '0']",[],[],1.23
08.08.2023,Darderi V. A.,1,,,,,,"['3', '5']","['3', '3', '5', '5', '7', '5']",[],[],[],3.83
22.07.2023,Arnaboldi F.,2,,,,,,"['4', '2', '5', '3', '6', '4']","['1', '1', '3', '3']","['2', '0', '4', '2']",[],[],1.22
22.07.2023,Miceli M.,1,,,,,,"['3', '4', '4', '5']","['1', '0', '2', '1', '5', '4']","['2', '3']",[],[],3.93
21.07.2023,Miceli M.,2,,,,,,"['2', '1']","['2', '1', '4', '1']",[],[],[],2.45
21.07.2023,Sorrentino L.,0,,,,,,[],[],[],[],[],1.50
20.07.2023,Miceli M.,2,,,,,,"['1', '0', '3', '0', '6', '1']","['2', '0', '6', '2']",[],[],[],2.57
20.07.2023,Tomasetto L.,0,,,,,,[],[],[],[],[],1.46
18.07.2023,Miceli M.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['1', '1', '3', '1', '5', '1']",[],[],[],2.17
18.07.2023,Speziali F.,0,,,,,,[],"['1', '0']",[],[],[],1.63
15.06.2023,Royer V.,2,,,,,,[],[],[],[],[],1.13
15.06.2023,Miceli M.,0,,,,,,[],[],[],[],[],5.31
14.06.2023,Miceli M.,2,,,,,,[],[],[],[],[],1.77
14.06.2023,Bennani R.,1,,,,,,[],[],[],[],[],1.94
25.05.2023,Knaff A.,2,,,,,,[],[],[],[],[],1.43
25.05.2023,Miceli M.,1,,,,,,[],[],[],[],[],2.67
24.05.2023,Miceli M.,2,,,,,,[],[],[],[],[],-
24.05.2023,Lazov A.,0,,,,,,[],[],[],[],[],-
20.05.2023,Ivanov S. A.,2,,,,,,[],[],[],[],[],1.49
20.05.2023,Miceli M.,0,,,,,,[],[],[],[],[],2.48
19.05.2023,Miceli M.,2,,,,,,[],[],[],[],[],3.05
19.05.2023,Balzerani R.,0,,,,,,[],[],[],[],[],1.34
18.05.2023,Miceli M.,2,,,,,,[],[],[],[],[],1.90
18.05.2023,Bonsach G. K.,0,,,,,,[],[],[],[],[],1.81
10.05.2023,Kyratzis S.,2,,,,,,[],[],[],[],[],3.15
10.05.2023,Miceli M.,1,,,,,,[],[],[],[],[],1.32
04.05.2023,Ionel N. D.,2,,,,,,[],[],[],[],[],1.06
04.05.2023,Miceli M.,0,,,,,,[],[],[],[],[],7.50
02.05.2023,Miceli M.,2,,,,,,[],[],[],[],[],1.12
02.05.2023,Timini A.,1,,,,,,[],[],[],[],[],5.40
16.04.2023,Bertola R.,2,,,,,,0,3,49%,63% (22/35),42% (15/36),55% (6/11),54% (30/56),60% (9/15),54% (7/13),52% (37/71),55% (39/71),54% (76/142),67% (8/12),55% (6/11),61% (14/23),"['1', '0', '5', '2']",[],"['2', '0', '3', '1', '5', '1']",[],[],1.43
16.04.2023,Miceli M.,1,,,,,,0,0,79%,46% (26/56),40% (6/15),46% (6/13),37% (13/35),58% (21/36),45% (5/11),45% (32/71),48% (34/71),46% (66/142),45% (5/11),33% (4/12),39% (9/23),[],"['2', '1', '4', '1']","['1', '2']",[],[],2.71
