Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,437/307,263/164,140/108,13/20,21/14,0/1
2024,16/24,6/6,8/13,1/2,1/3,-
2023,28/30,10/9,8/12,2/5,8/4,-
2022,40/25,15/11,19/10,-,6/3,0/1
2021,17/25,3/9,9/8,5/5,0/3,-
2020,9/13,3/3,6/9,0/1,-,-
2019,40/28,5/5,31/18,3/4,1/1,-
2018,42/27,25/17,12/10,-,5/0,-
2017,35/25,25/16,8/7,2/2,-,-
2016,41/18,28/10,13/8,-,-,-
2014,38/22,26/17,12/5,-,-,-
2013,39/30,27/24,12/6,-,-,-
2012,44/25,43/24,1/1,-,-,-
2011,28/7,27/5,1/1,0/1,-,-
2010,16/7,16/7,-,-,-,-
2009,4/1,4/1,-,-,-,-
