Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,193/140,156/110,37/30,-,-,-
2024,17/12,7/7,10/5,-,-,-
2023,26/28,26/26,0/2,-,-,-
2022,53/23,53/22,0/1,-,-,-
2021,15/11,14/10,1/1,-,-,-
2020,5/5,1/2,4/3,-,-,-
2019,16/17,5/6,11/11,-,-,-
2018,25/16,16/10,9/6,-,-,-
2017,22/18,22/18,-,-,-,-
2016,13/7,11/6,2/1,-,-,-
2015,1/3,1/3,-,-,-,-
