Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,527/365,289/185,152/98,58/52,20/20,8/10
2024,32/29,15/11,12/13,0/1,4/2,1/2
2023,44/29,21/10,16/9,5/5,2/5,-
2022,45/33,21/15,14/8,4/6,4/3,2/1
2021,23/33,13/13,5/9,4/8,1/3,-
2020,24/10,4/3,8/4,10/2,-,2/1
2019,34/34,13/14,10/9,7/6,3/3,1/2
2018,24/29,11/11,8/11,0/4,4/2,1/1
2017,36/29,14/12,10/10,11/5,0/1,1/1
2016,64/21,46/15,15/3,3/3,-,-
2015,36/18,18/14,16/2,2/1,-,0/1
2014,48/23,31/12,12/4,5/6,-,0/1
2013,49/30,37/23,7/4,5/3,-,-
2012,32/24,22/16,6/5,2/2,2/1,-
2011,21/9,9/6,12/3,-,-,-
2010,7/10,6/6,1/4,-,-,-
2009,8/4,8/4,-,-,-,-
