Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
23.04.,Vithoontien L.,2,,,,,,[],"['1', '2']","['1', '0', '4', '3']",[],[],-
23.04.,Nishiwaki K.,1,,,,,,[],"['2', '0', '3', '1', '6', '2']","['3', '3']",[],[],-
18.03.,Lee K.,2,,,,,,"['4', '3']","['2', '0', '4', '0', '6', '0']","['2', '0', '4', '2', '6', '2']",[],[],-
18.03.,Nishiwaki K.,1,,,,,,"['4', '4']",[],"['1', '2']",[],[],-
20.11.2024,Dev S D P.,2,,,,,,"['3', '1', '4', '2', '6', '2']","['2', '2', '4', '2']",[],[],[],1.20
20.11.2024,Nishiwaki K.,0,,,,,,"['2', '3']","['2', '1']",[],[],[],4.09
06.11.2024,Chappell N.,2,,,,,,"['1', '1', '2', '2', '7', '5']","['3', '1', '4', '4', '6', '4']",[],[],[],1.26
06.11.2024,Nishiwaki K.,0,,,,,,"['1', '0', '2', '1']","['2', '3', '4', '3']",[],[],[],3.54
30.10.2024,Shibano K.,2,,,,,,"['5', '3']","['2', '1', '4', '3', '6', '3']",[],[],[],2.62
30.10.2024,Nishiwaki K.,0,,,,,,[],"['3', '3']",[],[],[],1.44
04.09.2024,Imai S.,2,,,,,,"['5', '4']","['2', '3']","['2', '2', '4', '2', '5', '3', '7', '5']",[],[],1.13
04.09.2024,Nishiwaki K.,1,,,,,,[],"['3', '1', '4', '2']","['2', '1', '3', '4', '4', '5']",[],[],5.35
27.08.2024,Okamura I.,2,,,,,,"['2', '1', '3', '2', '5', '2']","['3', '2', '5', '2']",[],[],[],3.37
27.08.2024,Nishiwaki K.,0,,,,,,"['2', '2']","['3', '5']",[],[],[],1.29
