Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,12/18,1/4,11/14,-,-,-
2024,9/7,-,9/7,-,-,-
2023,2/8,0/3,2/5,-,-,-
2022,0/2,-,0/2,-,-,-
2020,1/1,1/1,-,-,-,-
