Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,146/99,16/12,130/87,-,-,-
2024,6/2,-,6/2,-,-,-
2023,20/15,3/3,17/12,-,-,-
2022,29/18,-,29/18,-,-,-
2021,12/4,-,12/4,-,-,-
2019,0/2,-,0/2,-,-,-
2018,26/12,7/2,19/10,-,-,-
2017,6/8,0/1,6/7,-,-,-
2016,5/5,0/2,5/3,-,-,-
2015,18/8,3/2,15/6,-,-,-
2014,12/11,3/2,9/9,-,-,-
2013,5/4,-,5/4,-,-,-
2012,5/4,-,5/4,-,-,-
2011,2/4,-,2/4,-,-,-
2010,0/2,-,0/2,-,-,-
