Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,682/553,515/378,121/114,46/56,0/5,-
2024,42/28,38/19,2/4,2/5,-,-
2023,30/39,13/20,14/16,3/3,-,-
2022,26/37,23/26,3/5,0/5,0/1,-
2021,24/40,17/27,3/8,4/4,0/1,-
2020,27/25,18/15,6/7,3/3,-,-
2019,37/32,27/20,9/9,1/2,0/1,-
2018,49/34,45/30,4/3,0/1,-,-
2017,39/40,34/27,0/5,5/7,0/1,-
2016,54/41,42/24,5/5,7/12,-,-
2015,70/35,53/27,7/3,10/5,-,-
2014,27/30,20/22,3/4,4/3,0/1,-
2013,60/27,40/15,13/7,7/5,-,-
2012,50/30,27/14,23/16,-,-,-
2011,57/33,44/25,13/8,-,-,-
2010,34/29,32/24,2/4,0/1,-,-
2009,30/31,25/26,5/5,-,-,-
2008,23/16,14/11,9/5,-,-,-
2007,3/5,3/5,-,-,-,-
2006,0/1,0/1,-,-,-,-
