Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,60/74,20/22,38/50,-,2/2,-
2023,24/30,15/13,7/15,-,2/2,-
2022,24/30,3/4,21/26,-,-,-
2021,8/7,-,8/7,-,-,-
2020,2/2,-,2/2,-,-,-
2019,0/2,0/2,-,-,-,-
2018,2/2,2/2,-,-,-,-
2016,0/1,0/1,-,-,-,-
