Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,53/52,2/1,48/46,-,3/5,-
2024,5/2,-,5/2,-,-,-
2023,13/13,2/1,11/10,-,0/2,-
2022,12/12,-,12/12,-,-,-
2021,7/10,-,7/10,-,-,-
2020,10/5,-,8/4,-,2/1,-
2018,1/1,-,1/1,-,-,-
2017,1/4,-,1/3,-,0/1,-
2016,2/3,-,1/2,-,1/1,-
2015,2/2,-,2/2,-,-,-
