Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,11/14,-,11/13,0/1,-,-
2024,6/5,-,6/5,-,-,-
2023,1/3,-,1/2,0/1,-,-
2021,4/6,-,4/6,-,-,-
