Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,187/101,-,104/58,73/29,10/14,-
2024,16/9,-,7/6,9/3,-,-
2023,26/12,-,15/6,11/6,-,-
2022,58/26,-,18/11,31/8,9/7,-
2021,25/10,-,24/7,-,1/3,-
2020,21/13,-,7/7,14/6,-,-
2019,7/7,-,7/4,-,0/3,-
2018,7/4,-,7/3,0/1,-,-
2017,17/13,-,14/11,3/2,-,-
2016,10/7,-,5/3,5/3,0/1,-
