Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,233/127,182/94,45/29,6/4,-,-
2024,35/25,24/18,11/7,-,-,-
2023,56/25,50/23,6/2,-,-,-
2022,43/24,39/19,4/5,-,-,-
2021,49/22,33/15,12/4,4/3,-,-
2020,24/17,18/11,4/5,2/1,-,-
2019,21/13,13/7,8/6,-,-,-
2018,5/1,5/1,-,-,-,-
