Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,177/106,177/106,-,-,-,-
2024,30/26,30/26,-,-,-,-
2023,54/33,54/33,-,-,-,-
2022,48/22,48/22,-,-,-,-
2021,42/19,42/19,-,-,-,-
2020,1/1,1/1,-,-,-,-
2019,2/3,2/3,-,-,-,-
2018,0/2,0/2,-,-,-,-
