Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,449/349,52/43,330/226,55/59,10/18,2/3
2024,25/15,1/1,21/11,2/2,1/1,-
2023,29/24,-,27/22,2/1,0/1,-
2022,23/21,-,16/13,7/8,-,-
2021,12/26,0/3,9/13,1/6,2/4,-
2020,5/13,0/2,4/5,1/5,-,0/1
2019,44/25,1/2,39/17,1/4,3/1,0/1
2018,28/23,2/3,16/13,10/6,0/1,-
2017,25/25,1/1,17/17,6/3,0/4,1/0
2016,35/30,9/9,24/17,2/4,-,-
2015,45/23,13/2,26/16,6/5,-,-
2014,39/31,4/1,32/25,2/2,1/2,0/1
2013,56/30,7/3,43/22,4/4,1/1,1/0
2012,33/33,5/3,21/23,5/5,2/2,-
2011,29/21,9/10,17/8,3/2,0/1,-
2010,15/3,-,13/2,2/1,-,-
2009,6/3,-,5/2,1/1,-,-
2007,0/3,0/3,-,-,-,-
