Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,47/21,-,35/17,7/3,-,5/1
2024,25/5,-,19/4,6/1,-,-
2023,5/4,-,4/2,1/2,-,-
2022,5/1,-,-,-,-,5/1
2021,12/11,-,12/11,-,-,-
