Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,5/9,1/4,4/5,-,-,-
2024,5/6,1/3,4/3,-,-,-
2023,0/2,0/1,0/1,-,-,-
2022,0/1,-,0/1,-,-,-
