Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,122/66,51/41,62/19,9/6,-,-
2024,21/22,16/20,5/2,-,-,-
2023,60/29,25/16,28/10,7/3,-,-
2022,39/12,10/5,29/7,-,-,-
2018,0/1,-,-,0/1,-,-
2016,0/1,-,-,0/1,-,-
2015,2/1,-,-,2/1,-,-
