Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
17.08.,Lopez Morillo I.,2,,,,,,4,4,60%,70% (21/30),50% (10/20),60% (3/5),50% (14/28),63% (20/32),50% (6/12),27,30,50% (3/6),62% (31/50),57% (35/61),59% (66/111),5,0,75% (6/8),75% (6/8),75% (12/16),"['2', '0', '4', '0']","['1', '2', '3', '2', '5', '2', '6', '3']",[],[],[],20.0
17.08.,Wiedenmann L.,0,,,,,,1,1,47%,50% (14/28),38% (12/32),50% (6/12),30% (9/30),50% (10/20),40% (2/5),2,21,50% (2/4),43% (26/61),38% (19/50),41% (45/111),5,0,25% (2/8),25% (2/8),25% (4/16),[],"['2', '0', '3', '5']",[],[],[],1.73
16.10.2024,Tepmahc N.,2,,,,,,"['2', '0', '4', '0']","['2', '1', '3', '2', '5', '2']","['1', '0', '3', '0', '5', '0']",[],[],5.53
16.10.2024,Wiedenmann L.,1,,,,,,"['2', '5', '4', '5']","['2', '2', '3', '5']",[],[],[],1.12
11.10.2024,Coppejans K.,2,,,,,,"['4', '5']","['3', '1', '6', '4']","['6', '4']",[],[],1.58
11.10.2024,Wiedenmann L.,1,,,,,,"['2', '0']","['4', '5']",[],[],[],2.18
10.10.2024,Wiedenmann L.,2,,,,,,"['1', '2', '5', '4']","['2', '1', '5', '2']",[],[],[],1.26
10.10.2024,Primucci L.,0,,,,,,"['2', '0']",[],[],[],[],3.54
08.10.2024,Wiedenmann L.,2,,,,,,"['2', '0', '5', '1']","['1', '2', '3', '2']",[],[],[],1.31
08.10.2024,Chepelev A.,0,,,,,,[],"['2', '0']",[],[],[],3.20
01.10.2024,Demanet E.,2,,,,,,"['1', '0']","['4', '4', '6', '4']","['3', '1', '6', '4']",[],[],1.69
01.10.2024,Wiedenmann L.,1,,,,,,"['2', '2', '5', '3']","['2', '1']","['2', '3']",[],[],2.08
09.09.2024,Strombachs R.,2,,,,,,9,3,62%,83% (34/41),48% (12/25),100% (7/7),31% (9/29),43% (10/23),50% (2/4),70% (46/66),37% (19/52),55% (65/118),5,0,100% (10/10),22% (2/9),63% (12/19),"['2', '0']","['4', '3']",[],[],[],1.51
09.09.2024,Wiedenmann L.,0,,,,,,1,2,56%,69% (20/29),57% (13/23),50% (2/4),17% (7/41),52% (13/25),0% (0/7),63% (33/52),30% (20/66),45% (53/118),5,0,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],2.47
