Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,74/41,-,71/37,-,0/1,3/3
2024,7/6,-,7/6,-,-,-
2023,17/9,-,14/5,-,0/1,3/3
2022,42/17,-,42/17,-,-,-
2021,5/5,-,5/5,-,-,-
2020,3/4,-,3/4,-,-,-
