Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
11.05.,Barreiros Reyes M.,2,,,,,,3,10,51%,71% (34/48),63% (29/46),40% (2/5),26% (15/58),58% (22/38),50% (3/6),67% (63/94),39% (37/96),53% (100/190),5,0,81% (13/16),20% (3/15),52% (16/31),"['1', '2']",[],"['2', '0', '4', '0']",[],[],1.34
11.05.,Buitrago N.,1,,,,,,10,4,60%,74% (43/58),42% (16/38),50% (3/6),29% (14/48),37% (17/46),60% (3/5),61% (59/96),33% (31/94),47% (90/190),5,0,80% (12/15),19% (3/16),48% (15/31),"['2', '0', '6', '4']",[],"['2', '5']",[],[],3.10
11.03.,Fellin P. O.,2,,,,,,"['2', '0']","['4', '3']",[],[],[],1.21
11.03.,Buitrago N.,0,,,,,,[],[],[],[],[],4.08
04.03.,Strode E.,2,,,,,,"['5', '3']","['1', '0', '4', '1']",[],[],[],1.65
04.03.,Buitrago N.,0,,,,,,[],[],[],[],[],2.13
27.02.,Stice T.,2,,,,,,"['2', '1', '5', '2']","['2', '3', '5', '4']",[],[],[],1.67
27.02.,Buitrago N.,0,,,,,,[],"['3', '1']",[],[],[],2.10
25.02.,Buitrago N.,2,,,,,,"['2', '0', '4', '0', '5', '1']","['2', '1', '5', '2']",[],[],[],1.29
25.02.,Bazilevskiy V.,0,,,,,,"['1', '4']",[],[],[],[],3.32
12.02.,McHugh A.,2,,,,,,"['3', '2', '5', '2']","['2', '1', '3', '4']","['3', '1', '6', '4']",[],[],1.05
12.02.,Buitrago N.,1,,,,,,[],"['2', '2', '4', '2']","['3', '4']",[],[],7.70
05.02.,Fishback R.,2,,,,,,"['1', '2']","['2', '0', '4', '0']","['2', '1', '5', '2']",[],[],1.50
05.02.,Buitrago N.,1,,,,,,"['2', '0', '3', '1']","['1', '4']",[],[],[],2.44
28.01.,Castaneda M.,2,,,,,,"['2', '0', '5', '1']",[],"['2', '2', '5', '5']",[],[],3.26
28.01.,Buitrago N.,1,,,,,,[],"['2', '0', '5', '1']","['2', '1', '5', '4']",[],[],1.30
05.12.2024,Tudorica A. N.,2,,,,,,"['1', '1', '4', '4', '6', '4']","['2', '0', '6', '6']",[],[],[],1.18
05.12.2024,Buitrago N.,0,,,,,,"['1', '0', '3', '2']","['4', '5', '6', '5']",[],[],[],4.47
04.12.2024,Buitrago N.,2,,,,,,"['4', '4', '7', '5']","['3', '1']",[],[],[],5.05
04.12.2024,Ayeni A.,0,,,,,,"['1', '0']",[],[],[],[],1.14
29.11.2024,Strode I.,2,,,,,,"['3', '2', '6', '3']","['5', '5']","['1', '0']",[],[],1.34
29.11.2024,Buitrago N.,1,,,,,,[],"['4', '3']",[],[],[],3.04
28.11.2024,Buitrago N.,2,,,,,,"['4', '2', '6', '2']","['2', '4', '3', '5', '5', '5']",[],[],[],2.66
28.11.2024,Ogura K.,0,,,,,,[],"['1', '0', '3', '0', '5', '2']",[],[],[],1.43
26.11.2024,Buitrago N.,2,,,,,,"['3', '1', '4', '2']","['2', '1', '4', '1', '6', '1']",[],[],[],-
26.11.2024,Hoeyeraal H.,0,,,,,,"['2', '3']",[],[],[],[],-
19.11.2024,Ogura K.,2,,,,,,[],[],"['3', '3']",[],[],1.27
19.11.2024,Buitrago N.,1,,,,,,"['2', '0', '6', '2']",[],"['3', '2']",[],[],3.46
