Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,52/50,44/41,8/7,0/2,-,-
2024,25/21,25/20,-,0/1,-,-
2023,19/12,16/9,3/3,-,-,-
2022,5/7,0/5,5/2,-,-,-
2021,0/5,0/2,0/2,0/1,-,-
2020,3/5,3/5,-,-,-,-
