Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,82/75,42/36,36/36,3/3,-,1/0
2024,7/16,6/8,1/6,0/2,-,-
2023,37/27,22/16,11/10,3/1,-,1/0
2022,27/23,14/11,13/12,-,-,-
2021,11/8,0/1,11/7,-,-,-
2019,0/1,-,0/1,-,-,-
