Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,35/45,4/6,28/28,3/10,0/1,-
2024,17/16,1/2,16/14,-,-,-
2023,13/20,3/3,7/8,3/9,-,-
2022,5/9,0/1,5/6,0/1,0/1,-
