Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,553/391,476/332,73/56,3/2,1/1,-
2024,49/21,46/20,3/1,-,-,-
2023,32/25,19/15,11/9,2/1,-,-
2022,39/30,29/21,8/7,1/1,1/1,-
2021,29/30,29/26,0/4,-,-,-
2020,3/11,3/9,0/2,-,-,-
2019,48/25,28/18,20/7,-,-,-
2018,24/9,24/9,-,-,-,-
2017,33/25,28/20,5/5,-,-,-
2016,41/35,32/27,9/8,-,-,-
2015,49/26,41/21,8/5,-,-,-
2014,40/28,36/25,4/3,-,-,-
2013,44/27,44/27,-,-,-,-
2012,32/29,30/26,2/3,-,-,-
2011,42/29,42/29,-,-,-,-
2010,26/23,25/22,1/1,-,-,-
2009,22/16,20/15,2/1,-,-,-
2008,0/2,0/2,-,-,-,-
