Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,537/538,297/279,146/155,82/85,8/3,4/16
2024,27/31,22/23,5/7,0/1,-,-
2023,26/27,15/9,5/9,5/5,-,1/4
2022,19/32,9/17,10/13,0/2,-,-
2021,30/35,24/24,4/6,2/5,-,-
2020,9/15,3/8,2/3,4/4,-,-
2019,37/34,9/10,25/21,3/3,-,-
2018,29/29,24/21,4/5,0/1,-,1/2
2017,20/33,8/14,8/8,4/8,-,0/3
2016,31/33,16/16,10/12,4/3,-,1/2
2015,42/41,26/26,4/5,12/7,-,0/3
2014,35/32,16/13,6/10,8/8,5/1,-
2013,44/37,19/18,10/10,11/5,3/2,1/2
2012,23/26,12/13,10/11,1/2,-,-
2011,38/30,21/13,7/7,10/10,-,-
2010,25/25,10/14,10/6,5/5,-,-
2009,14/22,11/11,2/6,1/5,-,-
2008,30/21,15/10,8/5,7/6,-,-
2007,36/20,22/10,9/5,5/5,-,-
2006,12/7,6/3,6/4,-,-,-
2005,7/5,6/4,1/1,-,-,-
2004,3/3,3/2,0/1,-,-,-
