Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,652/487,197/160,249/166,151/106,28/36,27/19
2024,42/24,10/9,19/7,7/4,6/4,-
2023,23/24,3/5,17/11,3/8,-,-
2022,36/28,0/2,18/11,13/8,5/4,0/3
2021,12/24,0/6,8/9,0/5,2/3,2/1
2020,9/12,3/2,3/5,3/4,-,0/1
2019,29/29,1/6,9/11,12/7,4/4,3/1
2018,34/29,7/8,13/10,8/7,4/3,2/1
2017,41/30,6/9,19/12,12/8,1/1,3/0
2016,30/25,15/7,10/12,2/3,1/1,2/2
2015,27/27,3/7,12/9,8/6,1/4,3/1
2014,26/32,5/10,13/13,5/3,2/3,1/3
2013,48/21,17/9,23/6,8/5,-,0/1
2012,17/19,10/9,5/6,-,0/3,2/1
2011,28/33,5/7,15/12,6/8,1/3,1/3
2010,58/25,23/13,17/5,12/7,-,6/0
2009,39/22,8/8,13/6,16/7,-,2/1
2008,53/28,26/14,4/3,22/8,1/3,-
2007,56/25,40/16,13/6,3/3,-,-
2006,38/22,9/7,18/11,11/4,-,-
2005,6/8,6/6,0/1,0/1,-,-
