Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,110/91,99/79,11/11,0/1,-,-
2024,26/20,21/14,5/6,-,-,-
2023,27/31,23/28,4/3,-,-,-
2022,37/26,35/24,2/2,-,-,-
2021,20/12,20/12,-,-,-,-
2020,0/1,0/1,-,-,-,-
2018,0/1,-,-,0/1,-,-
