https://www.tennisexplorer.com/res/img/player/GzfhWvdA-EiDnErIr.jpeg
Salle Fabien
Country: France
Age: 25 (19. 8. 1999)
Current/Highest rank - singles: 652. / 652.
Current/Highest rank - doubles: 940. / 934.
Sex: man
Plays: right
