Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,7/17,4/10,3/1,0/6,-,-
2023,1/5,1/2,-,0/3,-,-
2022,1/2,1/1,-,0/1,-,-
2021,0/1,-,-,0/1,-,-
2020,5/3,2/2,3/1,-,-,-
2019,0/4,0/3,-,0/1,-,-
2018,0/1,0/1,-,-,-,-
2017,0/1,0/1,-,-,-,-
