Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,4/9,-,4/5,-,-,0/4
2024,1/3,-,1/3,-,-,-
2023,0/4,-,-,-,-,0/4
2021,3/1,-,3/1,-,-,-
2018,0/1,-,0/1,-,-,-
