Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,151/116,96/73,46/38,-,-,9/5
2024,24/23,19/15,5/5,-,-,0/3
2023,43/28,27/17,7/9,-,-,9/2
2022,8/10,-,8/10,-,-,-
2021,5/4,-,5/4,-,-,-
2019,23/13,4/4,19/9,-,-,-
2018,10/8,10/8,-,-,-,-
2017,31/22,29/21,2/1,-,-,-
2016,1/1,1/1,-,-,-,-
2015,6/4,6/4,-,-,-,-
2014,0/1,0/1,-,-,-,-
2013,0/2,0/2,-,-,-,-
