Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,54/46,53/45,-,-,-,1/1
2023,1/2,1/2,-,-,-,-
2022,29/18,29/18,-,-,-,-
2021,22/19,22/18,-,-,-,0/1
2019,0/3,0/3,-,-,-,-
2018,2/3,1/3,-,-,-,1/0
2017,0/1,0/1,-,-,-,-
