Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

CHALLENGER MEN - SINGLES :  Rennes (France),hard,header
14.09. 01:25,Droguet T.,0,6^11,1,,,,6,0,70%,69% (31/45),53% (10/19),67% (4/6),17% (7/41),37% (11/30),0% (0/1),5,64% (41/64),25% (18/71),44% (59/135),1,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],2.40
14.09. 01:25,Halys Q.,2,7^13,6,,,,6,2,58%,83% (34/41),63% (19/30),100% (1/1),31% (14/45),47% (9/19),33% (2/6),8,75% (53/71),36% (23/64),56% (76/135),7,100% (10/10),22% (2/9),63% (12/19),[],"['2', '0', '4', '0']",[],[],[],1.54
12.09. 23:45,Droguet T.,2,3,7^7,7,,,10,3,61%,76% (47/62),48% (19/40),56% (5/9),31% (20/64),38% (11/29),60% (3/5),8,65% (66/102),33% (31/93),50% (97/195),3,76% (13/17),19% (3/16),48% (16/33),[],"['1', '0', '4', '5']","['7', '5']",[],[],1.83
12.09. 23:45,Grenier H.,1,6,6^3,5,,,4,5,69%,69% (44/64),62% (18/29),40% (2/5),24% (15/62),53% (21/40),44% (4/9),11,67% (62/93),35% (36/102),50% (98/195),4,81% (13/16),24% (4/17),52% (17/33),"['4', '3', '6', '3']","['1', '1', '3', '1']",[],[],[],1.91
10.09. 18:00,Droguet T.,2,6,6,,,,12,2,58%,83% (35/42),50% (15/30),100% (4/4),37% (13/35),29% (4/14),67% (2/3),5,69% (50/72),35% (17/49),55% (67/121),3,100% (10/10),22% (2/9),63% (12/19),"['4', '2']","['2', '1']",[],[],[],1.16
10.09. 18:00,Diez S.,0,3,4,,,,0,1,71%,63% (22/35),71% (10/14),33% (1/3),17% (7/42),50% (15/30),0% (0/4),5,65% (32/49),31% (22/72),45% (54/121),1,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],4.84
CHALLENGER MEN - SINGLES :  Cassis (France),hard,header
06.09. 18:50,Droguet T.,1,2,7^7,3,,,12,1,56%,66% (35/53),52% (22/42),20% (1/5),29% (18/62),41% (13/32),17% (1/6),8,60% (57/95),33% (31/94),47% (88/189),2,71% (10/14),7% (1/15),38% (11/29),[],"['2', '0']",[],[],[],1.91
06.09. 18:50,Gasquet R.,2,6,6^1,6,,,5,4,66%,71% (44/62),59% (19/32),83% (5/6),34% (18/53),48% (20/42),80% (4/5),10,67% (63/94),40% (38/95),53% (101/189),5,93% (14/15),29% (4/14),62% (18/29),"['3', '2', '5', '2']","['1', '2']","['2', '0']",[],[],1.83
04.09. 13:40,Droguet T.,2,6,6,,,,5,2,75%,78% (32/41),50% (7/14),0% (0/0),40% (18/45),57% (8/14),33% (3/9),8,71% (39/55),44% (26/59),57% (65/114),5,100% (9/9),33% (3/9),67% (12/18),"['4', '2', '6', '2']","['6', '4']",[],[],[],1.35
04.09. 13:40,Naw H.,0,2,4,,,,0,3,76%,60% (27/45),43% (6/14),67% (6/9),22% (9/41),50% (7/14),0% (0/0),5,56% (33/59),29% (16/55),43% (49/114),1,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],3.07
02.09. 18:30,Droguet T.,2,6,7,,,,7,1,65%,75% (33/44),42% (10/24),63% (5/8),43% (18/42),60% (21/35),56% (5/9),8,63% (43/68),51% (39/77),57% (82/145),3,73% (8/11),45% (5/11),59% (13/22),"['2', '2', '6', '4']","['2', '2', '4', '4', '7', '5']",[],[],[],1.33
02.09. 18:30,Gray A.,0,4,5,,,,4,9,55%,57% (24/42),40% (14/35),44% (4/9),25% (11/44),58% (14/24),38% (3/8),5,49% (38/77),37% (25/68),43% (63/145),2,55% (6/11),27% (3/11),41% (9/22),"['2', '1']","['1', '0', '4', '3']",[],[],[],3.19
ATP - SINGLES :  US Open (USA) - Qualification,hard,header
22.08. 00:35,Droguet T.,1,6,5,3,,,6,3,57%,65% (41/63),45% (21/47),62% (8/13),31% (22/71),57% (16/28),29% (4/14),6,56% (62/110),38% (38/99),48% (100/209),7,67% (10/15),27% (4/15),47% (14/30),"['4', '3', '6', '3']","['2', '0', '5', '3']",[],[],[],2.70
22.08. 00:35,Diallo G.,2,3,7,6,,,4,8,72%,69% (49/71),43% (12/28),71% (10/14),35% (22/63),55% (26/47),38% (5/13),7,62% (61/99),44% (48/110),52% (109/209),6,73% (11/15),33% (5/15),53% (16/30),[],"['3', '4', '4', '5', '6', '5']","['1', '0', '6', '3']",[],[],1.45
20.08. 03:40,Droguet T.,2,6,7^9,,,,4,0,60%,73% (30/41),63% (17/27),83% (5/6),27% (13/49),55% (18/33),23% (3/13),7,69% (47/68),34% (31/92),49% (78/160),5,88% (7/8),38% (3/8),63% (10/16),"['2', '1', '6', '3']","['2', '0']",[],[],[],2.89
20.08. 03:40,Atmane T.,0,3,6^7,,,,4,8,60%,73% (36/49),45% (15/33),77% (10/13),27% (11/41),37% (10/27),17% (1/6),8,66% (61/92),31% (21/68),45% (72/160),3,63% (5/8),13% (1/8),38% (6/16),[],"['2', '3']",[],[],[],1.40
CHALLENGER MEN - SINGLES :  Luedenscheid (Germany),clay,header
02.08. 18:20,Van De Zandschulp B.,0,3,,,,,1,0,70%,86% (6/7),67% (2/3),0% (0/0),43% (3/7),60% (3/5),50% (1/2),4,80% (8/10),50% (6/12),64% (14/22),2,100% (2/2),50% (1/2),75% (3/4),"['1', '0']",[],[],[],[],1.53
02.08. 18:20,Droguet T.,0,1,,,,,2,0,58%,57% (4/7),40% (2/5),50% (1/2),14% (1/7),33% (1/3),0% (0/0),3,50% (6/12),20% (2/10),36% (8/22),1,50% (1/2),0% (0/2),25% (1/4),[],[],[],[],[],2.43
