Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,168/242,61/90,102/151,-,-,5/1
2024,26/27,7/11,19/16,-,-,-
2023,28/33,5/3,23/30,-,-,-
2022,12/35,1/3,11/32,-,-,-
2021,14/29,2/7,11/21,-,-,1/1
2020,12/19,-,12/19,-,-,-
2019,17/24,4/16,9/8,-,-,4/0
2018,26/35,10/12,16/23,-,-,-
2017,17/23,17/23,-,-,-,-
2016,13/13,13/13,-,-,-,-
2015,3/4,2/2,1/2,-,-,-
