Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,240/202,30/27,177/139,26/29,1/3,6/4
2024,23/22,-,23/21,-,-,0/1
2023,30/29,4/4,21/21,4/2,1/1,0/1
2022,34/24,6/3,23/14,2/5,0/2,3/0
2021,19/26,2/8,10/10,7/8,-,-
2020,5/8,-,4/6,0/1,-,1/1
2019,34/21,10/7,22/11,1/3,-,1/0
2018,41/25,6/2,29/19,6/4,-,-
2017,36/26,2/2,27/21,6/2,-,1/1
2016,13/14,0/1,13/10,0/3,-,-
2015,4/4,-,4/3,0/1,-,-
2014,1/2,-,1/2,-,-,-
2013,0/1,-,0/1,-,-,-
