Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,68/48,46/29,21/17,1/2,-,-
2024,30/16,24/12,6/4,-,-,-
2023,19/16,9/9,10/6,0/1,-,-
2022,17/14,12/7,5/7,-,-,-
2021,2/2,1/1,-,1/1,-,-
