Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,33/66,6/29,27/37,-,-,-
2024,9/18,4/9,5/9,-,-,-
2023,11/28,2/9,9/19,-,-,-
2022,11/11,0/4,11/7,-,-,-
2021,2/5,0/3,2/2,-,-,-
2020,0/4,0/4,-,-,-,-
