Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,25/24,22/20,-,-,-,3/4
2024,9/10,9/10,-,-,-,-
2023,14/6,12/5,-,-,-,2/1
2022,2/8,1/5,-,-,-,1/3
