Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,669/385,190/119,261/155,160/74,46/34,12/3
2024,21/19,3/6,12/9,1/2,5/2,-
2023,16/15,2/4,8/8,6/3,-,-
2022,14/7,1/1,13/5,0/1,-,-
2021,18/17,2/4,8/7,7/3,1/3,-
2020,16/7,0/3,7/3,9/1,-,-
2019,38/20,6/4,17/7,14/5,1/3,0/1
2018,34/21,10/10,8/7,11/2,5/2,-
2017,20/14,3/4,11/6,1/1,5/3,-
2016,44/17,6/3,33/8,4/5,0/1,1/0
2015,34/19,12/5,4/6,11/5,6/3,1/0
2014,41/19,7/3,19/11,9/3,2/2,4/0
2013,38/22,20/9,15/7,1/5,2/1,-
2012,20/13,3/3,8/6,8/4,-,1/0
2011,41/18,11/6,13/6,11/3,5/3,1/0
2010,46/20,8/4,19/9,13/4,2/2,4/1
2009,42/20,8/4,17/9,16/6,1/0,0/1
2008,38/19,15/6,11/8,9/4,3/1,-
2007,32/23,18/10,11/8,0/2,3/3,-
2006,21/24,9/6,8/12,1/4,3/2,-
2005,39/23,15/8,8/8,14/4,2/3,-
2004,35/16,19/8,2/1,14/7,-,-
2003,21/12,12/8,9/4,-,-,-
