Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,51/32,17/13,18/12,3/1,-,13/6
2024,10/4,2/1,5/2,3/1,-,-
2023,5/5,2/2,3/3,-,-,-
2022,34/21,11/9,10/6,-,-,13/6
2021,2/2,2/1,0/1,-,-,-
