Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,358/231,26/31,256/137,49/34,23/22,4/7
2024,41/20,1/3,31/14,-,9/3,-
2023,20/28,1/2,15/18,1/1,3/6,0/1
2022,49/24,5/3,38/16,-,5/5,1/0
2021,24/19,5/8,19/10,0/1,-,-
2020,1/2,-,-,-,-,1/2
2019,19/14,1/2,17/9,1/1,-,0/2
2018,49/12,3/2,44/9,2/1,-,-
2013,5/6,-,5/5,0/1,-,-
2012,13/10,-,12/7,1/3,-,-
2011,26/26,2/3,9/13,10/5,3/3,2/2
2010,42/22,1/3,22/10,17/6,2/3,-
2009,36/23,7/4,21/12,8/7,-,-
2008,26/14,-,18/7,7/5,1/2,-
2007,4/7,0/1,3/4,1/2,-,-
2006,2/3,-,1/2,1/1,-,-
2005,1/1,-,1/1,-,-,-
