Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,29/32,20/25,6/2,3/5,-,-
2024,4/4,4/4,-,-,-,-
2023,14/18,7/14,6/2,1/2,-,-
2022,4/5,2/3,-,2/2,-,-
2021,7/5,7/4,-,0/1,-,-
