Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,109/123,27/27,44/45,38/51,-,-
2023,1/1,-,-,1/1,-,-
2022,0/2,-,-,0/2,-,-
2021,0/2,-,-,0/2,-,-
2020,9/9,-,4/5,5/4,-,-
2019,17/17,6/7,2/4,9/6,-,-
2018,26/26,1/4,17/14,8/8,-,-
2017,16/13,8/6,2/1,6/6,-,-
2016,8/17,2/3,4/9,2/5,-,-
2015,24/22,6/4,15/12,3/6,-,-
2014,5/6,3/2,-,2/4,-,-
2013,1/5,1/1,-,0/4,-,-
2012,2/2,-,-,2/2,-,-
2011,0/1,-,-,0/1,-,-
