Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,124/100,65/51,44/33,9/8,-,6/8
2024,27/17,16/8,11/9,-,-,-
2023,23/26,8/11,7/8,2/1,-,6/6
2022,22/20,19/17,3/2,-,-,0/1
2021,39/18,20/8,14/6,5/4,-,-
2020,8/5,1/1,7/4,-,-,-
2019,4/10,0/3,2/4,2/3,-,-
2017,1/4,1/3,-,-,-,0/1
