Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
06.02.,Poling K.,2,,,,,,"['2', '0', '3', '1', '4', '2', '5', '3']","['1', '0', '3', '0', '6', '1']",[],[],[],1.49
06.02.,Gorokhov M.,0,,,,,,"['1', '2', '2', '3', '3', '4']",[],[],[],[],2.47
05.02.,Gorokhov M.,2,,,,,,"['1', '0', '3', '4', '5', '4']","['1', '0', '3', '0', '5', '0']",[],[],[],1.54
05.02.,Ouakaa A.,0,,,,,,"['2', '2', '4', '2']",[],[],[],[],2.35
07.11.2024,Vylegzhanin N.,2,,,,,,"['3', '2', '4', '3', '6', '3']","['3', '3']","['2', '0', '4', '2']",[],[],1.50
07.11.2024,Gorokhov M.,1,,,,,,"['3', '3']","['2', '1', '4', '3']","['2', '3', '3', '4']",[],[],2.44
06.11.2024,Gorokhov M.,2,,,,,,"['4', '2', '6', '2']","['1', '1', '3', '1', '6', '4']",[],[],[],1.69
06.11.2024,Bangoura S.,0,,,,,,[],"['1', '0', '3', '4']",[],[],[],2.08
31.10.2024,Maestrelli F.,2,,,,,,"['4', '4']","['2', '1', '4', '1', '6', '1']",[],[],[],1.18
31.10.2024,Gorokhov M.,0,,,,,,"['2', '1']",[],[],[],[],4.33
11.10.2024,Reco A.,2,,,,,,"['2', '0', '4', '0', '6', '2']","['2', '2', '3', '3', '5', '3']",[],[],[],1.60
11.10.2024,Gorokhov M.,0,,,,,,"['2', '5']","['2', '1', '3', '2']",[],[],[],2.22
10.10.2024,Gorokhov M.,2,,,,,,"['1', '0', '3', '0']","['3', '2', '4', '3']",[],[],[],-
10.10.2024,Bobrov B.,0,,,,,,[],"['3', '3']",[],[],[],-
08.10.2024,Gorokhov M.,2,,,,,,[],"['2', '0', '4', '0']",[],[],[],1.32
08.10.2024,Martinez Gomez P.,0,,,,,,[],[],[],[],[],3.14
02.10.2024,Beaupain S.,2,,,,,,"['1', '2', '3', '4', '5', '4']","['1', '0']","['1', '0', '4', '1', '6', '1']",[],[],2.09
02.10.2024,Gorokhov M.,1,,,,,,"['2', '0', '3', '1']","['4', '4']",[],[],[],1.68
29.08.2024,Ouakaa A.,2,,,,,,"['2', '2', '5', '3']","['2', '1', '5', '4']","['2', '3', '5', '4']",[],[],2.53
29.08.2024,Gorokhov M.,1,,,,,,"['1', '0', '4', '5']","['4', '4']","['2', '0', '5', '5']",[],[],1.48
28.08.2024,Gorokhov M.,2,,,,,,"['2', '0', '7', '5']","['2', '0', '4', '0']",[],[],[],1.06
28.08.2024,Smiej Y.,0,,,,,,"['3', '4']",[],[],[],[],7.80
24.08.2024,Polukhin S.,2,,,,,,"['1', '0', '3', '0', '5', '2']","['1', '0', '2', '1', '3', '4', '5', '4']",[],[],[],1.30
24.08.2024,Gorokhov M.,0,,,,,,"['1', '3', '3', '5']","['1', '1', '2', '2', '4', '2']",[],[],[],3.34
23.08.2024,Gorokhov M.,2,,,,,,[],"['2', '0', '5', '3']","['3', '4', '5', '4']",[],[],2.10
23.08.2024,Bulus C.,1,,,,,,"['3', '1']","['3', '4']","['4', '2']",[],[],1.68
22.08.2024,Gorokhov M.,2,,,,,,"['6', '5']","['4', '3']",[],[],[],1.81
22.08.2024,Tamm K.,0,,,,,,[],[],[],[],[],1.91
