Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,65/31,10/3,55/25,0/3,-,-
2024,33/14,-,33/14,-,-,-
2023,24/11,4/1,20/10,-,-,-
2022,8/3,6/2,2/1,-,-,-
2021,0/3,-,-,0/3,-,-
