https://www.tennisexplorer.com/res/img/player/bmgIx9wG-AiQQZYYl.jpeg
Gorokhov Mikhail
Country: Russia
Age: 20 (29. 1. 2004)
Current/Highest rank - singles: 764. / 762.
Current/Highest rank - doubles: 2292. / 2150.
Sex: man
Plays: right
