Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,72/61,1/2,61/53,-,10/6,-
2024,5/6,-,2/4,-,3/2,-
2023,34/26,1/2,32/22,-,1/2,-
2022,25/20,-,25/20,-,-,-
2021,0/6,-,0/6,-,-,-
2020,6/2,-,-,-,6/2,-
2019,2/1,-,2/1,-,-,-
