Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
27.04.2023,Reco A.,0,,,,,,[],[],[],[],[],2.78
26.04.2023,Little D.,2,,,,,,[],"['5', '3']","['2', '1', '5', '4']",[],[],2.10
26.04.2023,Perez A.,1,,,,,,"['3', '1']",[],"['2', '2', '5', '5']",[],[],1.67
22.04.2023,Marie J.,2,,,,,,"['7', '5']","['5', '3']",[],[],[],1.44
22.04.2023,Little D.,0,,,,,,[],[],[],[],[],2.63
21.04.2023,Little D.,2,,,,,,"['2', '0']","['1', '0', '4', '1']",[],[],[],2.33
21.04.2023,Friberg K.,0,,,,,,[],[],[],[],[],1.55
20.04.2023,Little D.,2,,,,,,"['4', '5']","['2', '0']",[],[],[],2.27
20.04.2023,Stewart H.,0,,,,,,"['3', '1']",[],[],[],[],1.58
18.04.2023,Little D.,2,,,,,,"['3', '4', '5', '4']","['2', '1', '4', '1', '6', '1']",[],[],[],-
18.04.2023,Weightman O.,0,,,,,,"['2', '0']",[],[],[],[],-
