Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,62/26,-,31/20,8/2,-,23/4
2024,10/7,-,7/6,3/1,-,-
2023,16/8,-,11/7,5/1,-,-
2022,21/4,-,2/2,-,-,19/2
2021,12/5,-,8/3,-,-,4/2
2020,3/2,-,3/2,-,-,-
