Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
15.08.,Shin W.,2,,,,,,"['2', '1', '4', '1']","['1', '0', '5', '2']",[],[],[],1.61
15.08.,Nidunjianzan F.,0,,,,,,[],"['3', '5']",[],[],[],20.5
14.08.,Nidunjianzan F.,1,,,,,,"['1', '3', '4', '4']",[],[],[],[],1.82
14.08.,Park U.,0,,,,,,"['1', '0', '3', '0']",[],[],[],[],21.0
13.08.,Nidunjianzan F.,2,,,,,,"['6', '4']",[],"['3', '1', '5', '1']",[],[],20.0
13.08.,Ann S.,1,,,,,,[],"['3', '2']",[],[],[],1.66
09.07.,Samrej K.,2,,,,,,"['5', '3']","['1', '0', '3', '0', '6', '1']",[],[],[],1.42
09.07.,Nidunjianzan F.,0,,,,,,[],[],[],[],[],2.69
02.07.,Shin S.,2,,,,,,"['2', '3']","['4', '3']","['1', '0']",[],[],1.41
02.07.,Nidunjianzan F.,1,,,,,,"['3', '1', '4', '2', '6', '2']",[],"['4', '4']",[],[],2.73
25.06.,Sim S.,2,,,,,,"['2', '0', '4', '0']","['4', '3']",[],[],[],-
25.06.,Nidunjianzan F.,0,,,,,,[],[],[],[],[],-
16.08.2024,Henning P.,2,,,,,,"['1', '0', '3', '0']","['3', '2']",[],[],[],1.22
16.08.2024,Nidunjianzan F.,0,,,,,,[],[],[],[],[],3.96
15.08.2024,Nidunjianzan F.,2,,,,,,"['4', '2', '7', '5']","['3', '3', '6', '4']",[],[],[],2.17
15.08.2024,Palan D.,0,,,,,,"['3', '4']","['2', '1']",[],[],[],1.64
14.08.2024,Nidunjianzan F.,2,,,,,,"['3', '1']","['4', '2']","['3', '2', '5', '2']",[],[],-
14.08.2024,Sim S.,1,,,,,,"['2', '3', '5', '4']",[],[],[],[],-
25.06.2024,Fenty A.,2,,,,,,"['3', '3', '4', '4', '7', '5']","['2', '2', '7', '5']",[],[],[],2.24
25.06.2024,Nidunjianzan F.,0,,,,,,"['1', '0', '4', '3']","['2', '1']",[],[],[],1.60
19.06.2024,Summers M.,2,,,,,,"['4', '5', '6', '5']","['1', '0', '3', '0', '6', '1']",[],[],[],3.51
19.06.2024,Nidunjianzan F.,0,,,,,,"['2', '0']",[],[],[],[],1.27
23.08.2023,Gulin S.,2,,,,,,"['2', '3', '4', '3']","['2', '3']","['2', '0', '4', '0', '6', '0']",[],[],1.60
23.08.2023,Nidunjianzan F.,1,,,,,,"['3', '1']","['2', '0', '4', '2']",[],[],[],2.23
22.08.2023,Nidunjianzan F.,1,,,,,,"['2', '2', '4', '2']",[],[],[],[],3.93
22.08.2023,Moller E.,0,,,,,,"['1', '0']",[],[],[],[],1.22
18.08.2023,Fix D.,2,,,,,,"['1', '0']","['1', '0']","['2', '1', '4', '1', '6', '3']",[],[],2.63
18.08.2023,Nidunjianzan F.,1,,,,,,"['4', '4', '6', '4']",[],"['3', '5']",[],[],1.44
17.08.2023,Nidunjianzan F.,2,,,,,,"['4', '2', '6', '4']","['2', '2', '3', '3']","['2', '0']",[],[],1.42
17.08.2023,Wallner M.,1,,,,,,"['3', '4']","['2', '1', '3', '2', '5', '4']",[],[],[],2.70
16.08.2023,Nidunjianzan F.,2,,,,,,"['4', '4', '6', '4']",[],"['6', '4']",[],[],1.69
16.08.2023,Gentzsch T.,1,,,,,,"['3', '2']","['2', '1']",[],[],[],2.08
09.08.2023,Carraro L.,2,,,,,,"['2', '3']","['1', '0']","['1', '0']",[],[],2.52
09.08.2023,Nidunjianzan F.,1,,,,,,"['3', '1', '6', '4']",[],[],[],[],1.44
08.08.2023,Nidunjianzan F.,2,,,,,,"['2', '0', '4', '2']","['4', '2', '6', '4']","['1', '1', '3', '3', '5', '3', '7', '5']",[],[],1.86
08.08.2023,Galoppini D.,1,,,,,,"['2', '3', '3', '4', '6', '5']","['3', '4']","['1', '0', '2', '1', '4', '5']",[],[],1.85
03.08.2023,Callejon H. S.,2,,,,,,"['2', '1', '4', '3', '6', '3']","['5', '3']",[],[],[],2.31
03.08.2023,Nidunjianzan F.,0,,,,,,"['2', '2']",[],[],[],[],1.56
02.08.2023,Nidunjianzan F.,2,,,,,,"['2', '0', '3', '1', '5', '1']","['2', '1', '5', '4']",[],[],[],1.18
02.08.2023,Parisca I.,0,,,,,,"['1', '2']","['2', '2']",[],[],[],4.37
28.05.2023,Nidunjianzan F.,2,,,,,,"['5', '3', '7', '5']",[],[],[],[],3.15
28.05.2023,Cid Subervi R.,0,,,,,,"['4', '5']",[],[],[],[],1.32
27.05.2023,Nidunjianzan F.,2,,,,,,[],"['3', '4', '5', '4']","['2', '0', '4', '0', '5', '1']",[],[],2.19
27.05.2023,Bicknell B.,1,,,,,,"['2', '0', '6', '2']","['3', '1', '5', '5']","['1', '4']",[],[],1.64
25.05.2023,Nidunjianzan F.,2,,,,,,"['2', '3']","['1', '0', '3', '0', '4', '1']","['1', '0', '5', '2', '6', '3']",[],[],1.37
