Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,214/145,207/139,7/6,-,-,-
2024,29/23,23/18,6/5,-,-,-
2023,34/17,34/17,-,-,-,-
2022,53/21,53/21,-,-,-,-
2021,43/24,42/23,1/1,-,-,-
2020,16/13,16/13,-,-,-,-
2019,21/25,21/25,-,-,-,-
2018,12/8,12/8,-,-,-,-
2017,2/7,2/7,-,-,-,-
2016,2/4,2/4,-,-,-,-
2015,2/3,2/3,-,-,-,-
