Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,90/134,14/20,63/99,9/10,4/5,-
2024,18/18,-,13/16,5/2,-,-
2023,13/24,2/3,10/16,0/3,1/2,-
2022,22/23,1/4,19/18,-,2/1,-
2021,6/5,-,6/5,-,-,-
2020,2/5,-,1/4,1/1,-,-
2019,14/18,4/6,8/11,2/1,-,-
2018,11/23,7/7,4/16,-,-,-
2017,3/8,-,2/6,1/2,-,-
2016,0/7,-,0/6,-,0/1,-
2015,1/3,-,0/1,0/1,1/1,-
