Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,91/60,30/22,47/29,2/5,-,12/4
2024,27/16,9/8,11/7,1/1,-,6/0
2023,21/14,-,17/11,0/2,-,4/1
2022,19/12,8/4,9/5,-,-,2/3
2019,8/4,3/2,5/2,-,-,-
2018,8/8,3/3,4/3,1/2,-,-
2017,2/1,2/1,-,-,-,-
2016,6/5,5/4,1/1,-,-,-
