Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,470/258,378/179,29/32,56/40,6/7,1/0
2024,11/18,11/14,0/1,0/2,0/1,-
2023,51/19,40/14,-,11/5,-,-
2022,7/4,4/1,-,3/3,-,-
2021,2/2,-,2/2,-,-,-
2020,2/1,-,-,2/1,-,-
2019,14/2,14/2,-,-,-,-
2018,24/10,24/9,-,0/1,-,-
2017,11/8,11/7,0/1,-,-,-
2016,24/26,9/12,0/5,14/8,1/1,-
2015,36/29,25/13,2/9,8/5,0/2,1/0
2014,62/22,44/10,4/4,11/7,3/1,-
2013,25/23,9/12,11/6,3/3,2/2,-
2012,37/22,32/17,1/1,4/4,-,-
2011,24/10,24/10,-,-,-,-
2010,44/14,38/12,6/2,-,-,-
2009,21/13,21/12,-,0/1,-,-
2008,20/16,17/15,3/1,-,-,-
2007,34/11,34/11,-,-,-,-
2006,21/8,21/8,-,-,-,-
