Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,672/293,121/66,404/171,75/24,62/29,10/3
2024,16/14,2/3,10/7,-,4/3,0/1
2023,4/3,-,4/3,-,-,-
2020,5/2,-,5/2,-,-,-
2019,20/15,4/4,12/9,-,4/2,-
2018,41/17,9/4,24/8,2/4,6/1,-
2017,60/21,12/6,37/12,4/1,7/2,-
2016,34/17,-,29/12,2/1,3/4,-
2015,39/23,7/4,25/15,1/2,6/2,-
2014,50/21,1/2,40/16,3/1,6/2,-
2013,39/22,2/6,28/14,5/0,4/2,-
2012,52/23,5/4,30/13,14/3,3/3,-
2011,67/18,20/5,34/9,7/3,3/1,3/0
2010,64/18,15/6,39/9,5/1,3/2,2/0
2009,69/24,23/6,32/15,4/2,8/1,2/0
2008,62/25,9/7,36/11,12/4,4/2,1/1
2007,31/17,7/6,14/9,9/1,1/1,-
2006,19/11,5/3,5/5,7/1,0/1,2/1
2005,0/2,-,0/2,-,-,-
