Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,48/50,30/32,5/7,-,-,13/11
2024,27/17,20/12,5/2,-,-,2/3
2023,15/26,4/13,0/5,-,-,11/8
2022,1/2,1/2,-,-,-,-
2021,5/5,5/5,-,-,-,-
