Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,179/147,38/27,130/105,8/14,-,3/1
2024,17/23,2/3,15/18,0/2,-,-
2023,22/32,2/2,18/25,2/5,-,-
2022,33/28,6/7,19/15,5/5,-,3/1
2021,17/14,-,16/13,1/1,-,-
2020,0/1,-,0/1,-,-,-
2019,24/13,0/1,24/11,0/1,-,-
2018,6/3,-,6/3,-,-,-
2017,1/2,-,1/2,-,-,-
2016,14/9,6/3,8/6,-,-,-
2015,18/9,8/4,10/5,-,-,-
2014,23/9,10/4,13/5,-,-,-
2013,4/3,4/3,-,-,-,-
2012,0/1,-,0/1,-,-,-
